"FinancialYear","SIMDQuintile","AgeGroup","BirthweightForGestationalAge","Livebirths","Total","year"
"1997/98",1,"25-34","Appropriate",5571,7001,1997
"1997/98",1,"25-34","Large",701,7001,1997
"1997/98",1,"25-34","Small",720,7001,1997
"1997/98",1,"25-34","Unknown",9,7001,1997
"1997/98",1,"35 and over","Appropriate",794,1087,1997
"1997/98",1,"35 and over","Large",144,1087,1997
"1997/98",1,"35 and over","Small",139,1087,1997
"1997/98",1,"35 and over","Unknown",10,1087,1997
"1997/98",1,"Under 25","Appropriate",5003,6192,1997
"1997/98",1,"Under 25","Large",393,6192,1997
"1997/98",1,"Under 25","Small",785,6192,1997
"1997/98",1,"Under 25","Unknown",11,6192,1997
"1997/98",1,"Unknown","Appropriate",1,1,1997
"1997/98",2,"25-34","Appropriate",5184,6590,1997
"1997/98",2,"25-34","Large",768,6590,1997
"1997/98",2,"25-34","Small",631,6590,1997
"1997/98",2,"25-34","Unknown",7,6590,1997
"1997/98",2,"35 and over","Appropriate",892,1182,1997
"1997/98",2,"35 and over","Large",174,1182,1997
"1997/98",2,"35 and over","Small",115,1182,1997
"1997/98",2,"35 and over","Unknown",1,1182,1997
"1997/98",2,"Under 25","Appropriate",2935,3672,1997
"1997/98",2,"Under 25","Large",286,3672,1997
"1997/98",2,"Under 25","Small",447,3672,1997
"1997/98",2,"Under 25","Unknown",4,3672,1997
"1997/98",2,"Unknown","Appropriate",1,1,1997
"1997/98",3,"25-34","Appropriate",5329,6644,1997
"1997/98",3,"25-34","Large",850,6644,1997
"1997/98",3,"25-34","Small",449,6644,1997
"1997/98",3,"25-34","Unknown",16,6644,1997
"1997/98",3,"35 and over","Appropriate",1017,1307,1997
"1997/98",3,"35 and over","Large",200,1307,1997
"1997/98",3,"35 and over","Small",87,1307,1997
"1997/98",3,"35 and over","Unknown",3,1307,1997
"1997/98",3,"Under 25","Appropriate",2080,2490,1997
"1997/98",3,"Under 25","Large",167,2490,1997
"1997/98",3,"Under 25","Small",235,2490,1997
"1997/98",3,"Under 25","Unknown",8,2490,1997
"1997/98",3,"Unknown","Appropriate",1,1,1997
"1997/98",4,"25-34","Appropriate",5714,7071,1997
"1997/98",4,"25-34","Large",885,7071,1997
"1997/98",4,"25-34","Small",464,7071,1997
"1997/98",4,"25-34","Unknown",8,7071,1997
"1997/98",4,"35 and over","Appropriate",1319,1637,1997
"1997/98",4,"35 and over","Large",218,1637,1997
"1997/98",4,"35 and over","Small",100,1637,1997
"1997/98",4,"Under 25","Appropriate",1247,1523,1997
"1997/98",4,"Under 25","Large",115,1523,1997
"1997/98",4,"Under 25","Small",159,1523,1997
"1997/98",4,"Under 25","Unknown",2,1523,1997
"1997/98",4,"Unknown","Appropriate",1,2,1997
"1997/98",4,"Unknown","Large",1,2,1997
"1997/98",5,"25-34","Appropriate",5849,7245,1997
"1997/98",5,"25-34","Large",948,7245,1997
"1997/98",5,"25-34","Small",435,7245,1997
"1997/98",5,"25-34","Unknown",13,7245,1997
"1997/98",5,"35 and over","Appropriate",1688,2095,1997
"1997/98",5,"35 and over","Large",315,2095,1997
"1997/98",5,"35 and over","Small",91,2095,1997
"1997/98",5,"35 and over","Unknown",1,2095,1997
"1997/98",5,"Under 25","Appropriate",769,962,1997
"1997/98",5,"Under 25","Large",71,962,1997
"1997/98",5,"Under 25","Small",120,962,1997
"1997/98",5,"Under 25","Unknown",2,962,1997
"1997/98",NA,"25-34","Appropriate",109,135,1997
"1997/98",NA,"25-34","Large",19,135,1997
"1997/98",NA,"25-34","Small",7,135,1997
"1997/98",NA,"35 and over","Appropriate",33,42,1997
"1997/98",NA,"35 and over","Large",5,42,1997
"1997/98",NA,"35 and over","Small",4,42,1997
"1997/98",NA,"Under 25","Appropriate",41,51,1997
"1997/98",NA,"Under 25","Large",3,51,1997
"1997/98",NA,"Under 25","Small",6,51,1997
"1997/98",NA,"Under 25","Unknown",1,51,1997
"1998/99",1,"25-34","Appropriate",4973,6450,1998
"1998/99",1,"25-34","Large",705,6450,1998
"1998/99",1,"25-34","Small",758,6450,1998
"1998/99",1,"25-34","Unknown",14,6450,1998
"1998/99",1,"35 and over","Appropriate",813,1106,1998
"1998/99",1,"35 and over","Large",132,1106,1998
"1998/99",1,"35 and over","Small",158,1106,1998
"1998/99",1,"35 and over","Unknown",3,1106,1998
"1998/99",1,"Under 25","Appropriate",4737,5831,1998
"1998/99",1,"Under 25","Large",397,5831,1998
"1998/99",1,"Under 25","Small",692,5831,1998
"1998/99",1,"Under 25","Unknown",5,5831,1998
"1998/99",2,"25-34","Appropriate",4873,6075,1998
"1998/99",2,"25-34","Large",666,6075,1998
"1998/99",2,"25-34","Small",528,6075,1998
"1998/99",2,"25-34","Unknown",8,6075,1998
"1998/99",2,"35 and over","Appropriate",867,1152,1998
"1998/99",2,"35 and over","Large",163,1152,1998
"1998/99",2,"35 and over","Small",118,1152,1998
"1998/99",2,"35 and over","Unknown",4,1152,1998
"1998/99",2,"Under 25","Appropriate",2692,3370,1998
"1998/99",2,"Under 25","Large",272,3370,1998
"1998/99",2,"Under 25","Small",399,3370,1998
"1998/99",2,"Under 25","Unknown",7,3370,1998
"1998/99",2,"Unknown","Appropriate",1,1,1998
"1998/99",3,"25-34","Appropriate",4895,6147,1998
"1998/99",3,"25-34","Large",783,6147,1998
"1998/99",3,"25-34","Small",464,6147,1998
"1998/99",3,"25-34","Unknown",5,6147,1998
"1998/99",3,"35 and over","Appropriate",1177,1475,1998
"1998/99",3,"35 and over","Large",199,1475,1998
"1998/99",3,"35 and over","Small",97,1475,1998
"1998/99",3,"35 and over","Unknown",2,1475,1998
"1998/99",3,"Under 25","Appropriate",1956,2375,1998
"1998/99",3,"Under 25","Large",223,2375,1998
"1998/99",3,"Under 25","Small",190,2375,1998
"1998/99",3,"Under 25","Unknown",6,2375,1998
"1998/99",3,"Unknown","Appropriate",1,1,1998
"1998/99",4,"25-34","Appropriate",5459,6858,1998
"1998/99",4,"25-34","Large",989,6858,1998
"1998/99",4,"25-34","Small",397,6858,1998
"1998/99",4,"25-34","Unknown",13,6858,1998
"1998/99",4,"35 and over","Appropriate",1361,1743,1998
"1998/99",4,"35 and over","Large",284,1743,1998
"1998/99",4,"35 and over","Small",95,1743,1998
"1998/99",4,"35 and over","Unknown",3,1743,1998
"1998/99",4,"Under 25","Appropriate",1344,1652,1998
"1998/99",4,"Under 25","Large",147,1652,1998
"1998/99",4,"Under 25","Small",158,1652,1998
"1998/99",4,"Under 25","Unknown",3,1652,1998
"1998/99",5,"25-34","Appropriate",5342,6676,1998
"1998/99",5,"25-34","Large",971,6676,1998
"1998/99",5,"25-34","Small",354,6676,1998
"1998/99",5,"25-34","Unknown",9,6676,1998
"1998/99",5,"35 and over","Appropriate",1828,2227,1998
"1998/99",5,"35 and over","Large",294,2227,1998
"1998/99",5,"35 and over","Small",104,2227,1998
"1998/99",5,"35 and over","Unknown",1,2227,1998
"1998/99",5,"Under 25","Appropriate",742,919,1998
"1998/99",5,"Under 25","Large",99,919,1998
"1998/99",5,"Under 25","Small",77,919,1998
"1998/99",5,"Under 25","Unknown",1,919,1998
"1998/99",5,"Unknown","Appropriate",1,4,1998
"1998/99",5,"Unknown","Large",3,4,1998
"1998/99",NA,"25-34","Appropriate",95,125,1998
"1998/99",NA,"25-34","Large",23,125,1998
"1998/99",NA,"25-34","Small",7,125,1998
"1998/99",NA,"35 and over","Appropriate",28,39,1998
"1998/99",NA,"35 and over","Large",10,39,1998
"1998/99",NA,"35 and over","Small",1,39,1998
"1998/99",NA,"Under 25","Appropriate",26,36,1998
"1998/99",NA,"Under 25","Large",7,36,1998
"1998/99",NA,"Under 25","Small",3,36,1998
"1998/99",NA,"Unknown","Appropriate",1,1,1998
"1999/00",1,"25-34","Appropriate",4598,5914,1999
"1999/00",1,"25-34","Large",582,5914,1999
"1999/00",1,"25-34","Small",727,5914,1999
"1999/00",1,"25-34","Unknown",7,5914,1999
"1999/00",1,"35 and over","Appropriate",856,1134,1999
"1999/00",1,"35 and over","Large",139,1134,1999
"1999/00",1,"35 and over","Small",133,1134,1999
"1999/00",1,"35 and over","Unknown",6,1134,1999
"1999/00",1,"Under 25","Appropriate",4365,5465,1999
"1999/00",1,"Under 25","Large",438,5465,1999
"1999/00",1,"Under 25","Small",653,5465,1999
"1999/00",1,"Under 25","Unknown",9,5465,1999
"1999/00",2,"25-34","Appropriate",4485,5717,1999
"1999/00",2,"25-34","Large",708,5717,1999
"1999/00",2,"25-34","Small",518,5717,1999
"1999/00",2,"25-34","Unknown",6,5717,1999
"1999/00",2,"35 and over","Appropriate",880,1162,1999
"1999/00",2,"35 and over","Large",175,1162,1999
"1999/00",2,"35 and over","Small",106,1162,1999
"1999/00",2,"35 and over","Unknown",1,1162,1999
"1999/00",2,"Under 25","Appropriate",2794,3499,1999
"1999/00",2,"Under 25","Large",279,3499,1999
"1999/00",2,"Under 25","Small",422,3499,1999
"1999/00",2,"Under 25","Unknown",4,3499,1999
"1999/00",3,"25-34","Appropriate",4713,5880,1999
"1999/00",3,"25-34","Large",722,5880,1999
"1999/00",3,"25-34","Small",436,5880,1999
"1999/00",3,"25-34","Unknown",9,5880,1999
"1999/00",3,"35 and over","Appropriate",1151,1493,1999
"1999/00",3,"35 and over","Large",240,1493,1999
"1999/00",3,"35 and over","Small",101,1493,1999
"1999/00",3,"35 and over","Unknown",1,1493,1999
"1999/00",3,"Under 25","Appropriate",1926,2333,1999
"1999/00",3,"Under 25","Large",197,2333,1999
"1999/00",3,"Under 25","Small",205,2333,1999
"1999/00",3,"Under 25","Unknown",5,2333,1999
"1999/00",4,"25-34","Appropriate",5284,6693,1999
"1999/00",4,"25-34","Large",948,6693,1999
"1999/00",4,"25-34","Small",452,6693,1999
"1999/00",4,"25-34","Unknown",9,6693,1999
"1999/00",4,"35 and over","Appropriate",1395,1792,1999
"1999/00",4,"35 and over","Large",284,1792,1999
"1999/00",4,"35 and over","Small",109,1792,1999
"1999/00",4,"35 and over","Unknown",4,1792,1999
"1999/00",4,"Under 25","Appropriate",1299,1574,1999
"1999/00",4,"Under 25","Large",129,1574,1999
"1999/00",4,"Under 25","Small",141,1574,1999
"1999/00",4,"Under 25","Unknown",5,1574,1999
"1999/00",5,"25-34","Appropriate",5181,6454,1999
"1999/00",5,"25-34","Large",884,6454,1999
"1999/00",5,"25-34","Small",385,6454,1999
"1999/00",5,"25-34","Unknown",4,6454,1999
"1999/00",5,"35 and over","Appropriate",1695,2191,1999
"1999/00",5,"35 and over","Large",376,2191,1999
"1999/00",5,"35 and over","Small",118,2191,1999
"1999/00",5,"35 and over","Unknown",2,2191,1999
"1999/00",5,"Under 25","Appropriate",779,951,1999
"1999/00",5,"Under 25","Large",95,951,1999
"1999/00",5,"Under 25","Small",74,951,1999
"1999/00",5,"Under 25","Unknown",3,951,1999
"1999/00",NA,"25-34","Appropriate",97,123,1999
"1999/00",NA,"25-34","Large",18,123,1999
"1999/00",NA,"25-34","Small",5,123,1999
"1999/00",NA,"25-34","Unknown",3,123,1999
"1999/00",NA,"35 and over","Appropriate",18,27,1999
"1999/00",NA,"35 and over","Large",3,27,1999
"1999/00",NA,"35 and over","Small",6,27,1999
"1999/00",NA,"Under 25","Appropriate",31,43,1999
"1999/00",NA,"Under 25","Large",8,43,1999
"1999/00",NA,"Under 25","Small",4,43,1999
"2000/01",1,"25-34","Appropriate",4456,5735,2000
"2000/01",1,"25-34","Large",607,5735,2000
"2000/01",1,"25-34","Small",652,5735,2000
"2000/01",1,"25-34","Unknown",20,5735,2000
"2000/01",1,"35 and over","Appropriate",864,1220,2000
"2000/01",1,"35 and over","Large",181,1220,2000
"2000/01",1,"35 and over","Small",172,1220,2000
"2000/01",1,"35 and over","Unknown",3,1220,2000
"2000/01",1,"Under 25","Appropriate",4446,5565,2000
"2000/01",1,"Under 25","Large",441,5565,2000
"2000/01",1,"Under 25","Small",667,5565,2000
"2000/01",1,"Under 25","Unknown",11,5565,2000
"2000/01",2,"25-34","Appropriate",4352,5643,2000
"2000/01",2,"25-34","Large",769,5643,2000
"2000/01",2,"25-34","Small",513,5643,2000
"2000/01",2,"25-34","Unknown",9,5643,2000
"2000/01",2,"35 and over","Appropriate",899,1215,2000
"2000/01",2,"35 and over","Large",195,1215,2000
"2000/01",2,"35 and over","Small",117,1215,2000
"2000/01",2,"35 and over","Unknown",4,1215,2000
"2000/01",2,"Under 25","Appropriate",2722,3413,2000
"2000/01",2,"Under 25","Large",306,3413,2000
"2000/01",2,"Under 25","Small",368,3413,2000
"2000/01",2,"Under 25","Unknown",17,3413,2000
"2000/01",3,"25-34","Appropriate",4543,5665,2000
"2000/01",3,"25-34","Large",715,5665,2000
"2000/01",3,"25-34","Small",398,5665,2000
"2000/01",3,"25-34","Unknown",9,5665,2000
"2000/01",3,"35 and over","Appropriate",1105,1451,2000
"2000/01",3,"35 and over","Large",238,1451,2000
"2000/01",3,"35 and over","Small",107,1451,2000
"2000/01",3,"35 and over","Unknown",1,1451,2000
"2000/01",3,"Under 25","Appropriate",1730,2172,2000
"2000/01",3,"Under 25","Large",202,2172,2000
"2000/01",3,"Under 25","Small",236,2172,2000
"2000/01",3,"Under 25","Unknown",4,2172,2000
"2000/01",4,"25-34","Appropriate",4732,6043,2000
"2000/01",4,"25-34","Large",928,6043,2000
"2000/01",4,"25-34","Small",372,6043,2000
"2000/01",4,"25-34","Unknown",11,6043,2000
"2000/01",4,"35 and over","Appropriate",1498,1956,2000
"2000/01",4,"35 and over","Large",356,1956,2000
"2000/01",4,"35 and over","Small",96,1956,2000
"2000/01",4,"35 and over","Unknown",6,1956,2000
"2000/01",4,"Under 25","Appropriate",1110,1370,2000
"2000/01",4,"Under 25","Large",141,1370,2000
"2000/01",4,"Under 25","Small",116,1370,2000
"2000/01",4,"Under 25","Unknown",3,1370,2000
"2000/01",5,"25-34","Appropriate",5092,6344,2000
"2000/01",5,"25-34","Large",909,6344,2000
"2000/01",5,"25-34","Small",327,6344,2000
"2000/01",5,"25-34","Unknown",16,6344,2000
"2000/01",5,"35 and over","Appropriate",1872,2403,2000
"2000/01",5,"35 and over","Large",393,2403,2000
"2000/01",5,"35 and over","Small",138,2403,2000
"2000/01",5,"Under 25","Appropriate",634,807,2000
"2000/01",5,"Under 25","Large",92,807,2000
"2000/01",5,"Under 25","Small",79,807,2000
"2000/01",5,"Under 25","Unknown",2,807,2000
"2000/01",NA,"25-34","Appropriate",88,114,2000
"2000/01",NA,"25-34","Large",16,114,2000
"2000/01",NA,"25-34","Small",10,114,2000
"2000/01",NA,"35 and over","Appropriate",27,39,2000
"2000/01",NA,"35 and over","Large",9,39,2000
"2000/01",NA,"35 and over","Small",1,39,2000
"2000/01",NA,"35 and over","Unknown",2,39,2000
"2000/01",NA,"Under 25","Appropriate",53,63,2000
"2000/01",NA,"Under 25","Large",7,63,2000
"2000/01",NA,"Under 25","Small",3,63,2000
"2001/02",1,"25-34","Appropriate",4221,5463,2001
"2001/02",1,"25-34","Large",577,5463,2001
"2001/02",1,"25-34","Small",652,5463,2001
"2001/02",1,"25-34","Unknown",13,5463,2001
"2001/02",1,"35 and over","Appropriate",903,1246,2001
"2001/02",1,"35 and over","Large",154,1246,2001
"2001/02",1,"35 and over","Small",183,1246,2001
"2001/02",1,"35 and over","Unknown",6,1246,2001
"2001/02",1,"Under 25","Appropriate",4200,5292,2001
"2001/02",1,"Under 25","Large",403,5292,2001
"2001/02",1,"Under 25","Small",671,5292,2001
"2001/02",1,"Under 25","Unknown",18,5292,2001
"2001/02",2,"25-34","Appropriate",4076,5201,2001
"2001/02",2,"25-34","Large",632,5201,2001
"2001/02",2,"25-34","Small",476,5201,2001
"2001/02",2,"25-34","Unknown",17,5201,2001
"2001/02",2,"35 and over","Appropriate",968,1258,2001
"2001/02",2,"35 and over","Large",174,1258,2001
"2001/02",2,"35 and over","Small",116,1258,2001
"2001/02",2,"Under 25","Appropriate",2572,3213,2001
"2001/02",2,"Under 25","Large",260,3213,2001
"2001/02",2,"Under 25","Small",370,3213,2001
"2001/02",2,"Under 25","Unknown",11,3213,2001
"2001/02",3,"25-34","Appropriate",4456,5485,2001
"2001/02",3,"25-34","Large",648,5485,2001
"2001/02",3,"25-34","Small",374,5485,2001
"2001/02",3,"25-34","Unknown",7,5485,2001
"2001/02",3,"35 and over","Appropriate",1087,1423,2001
"2001/02",3,"35 and over","Large",250,1423,2001
"2001/02",3,"35 and over","Small",85,1423,2001
"2001/02",3,"35 and over","Unknown",1,1423,2001
"2001/02",3,"Under 25","Appropriate",1752,2162,2001
"2001/02",3,"Under 25","Large",210,2162,2001
"2001/02",3,"Under 25","Small",196,2162,2001
"2001/02",3,"Under 25","Unknown",4,2162,2001
"2001/02",4,"25-34","Appropriate",4720,6046,2001
"2001/02",4,"25-34","Large",920,6046,2001
"2001/02",4,"25-34","Small",399,6046,2001
"2001/02",4,"25-34","Unknown",7,6046,2001
"2001/02",4,"35 and over","Appropriate",1506,1945,2001
"2001/02",4,"35 and over","Large",289,1945,2001
"2001/02",4,"35 and over","Small",149,1945,2001
"2001/02",4,"35 and over","Unknown",1,1945,2001
"2001/02",4,"Under 25","Appropriate",1138,1399,2001
"2001/02",4,"Under 25","Large",133,1399,2001
"2001/02",4,"Under 25","Small",126,1399,2001
"2001/02",4,"Under 25","Unknown",2,1399,2001
"2001/02",5,"25-34","Appropriate",4733,5899,2001
"2001/02",5,"25-34","Large",856,5899,2001
"2001/02",5,"25-34","Small",306,5899,2001
"2001/02",5,"25-34","Unknown",4,5899,2001
"2001/02",5,"35 and over","Appropriate",1899,2445,2001
"2001/02",5,"35 and over","Large",415,2445,2001
"2001/02",5,"35 and over","Small",127,2445,2001
"2001/02",5,"35 and over","Unknown",4,2445,2001
"2001/02",5,"Under 25","Appropriate",651,806,2001
"2001/02",5,"Under 25","Large",74,806,2001
"2001/02",5,"Under 25","Small",78,806,2001
"2001/02",5,"Under 25","Unknown",3,806,2001
"2001/02",NA,"25-34","Appropriate",85,114,2001
"2001/02",NA,"25-34","Large",16,114,2001
"2001/02",NA,"25-34","Small",13,114,2001
"2001/02",NA,"35 and over","Appropriate",15,20,2001
"2001/02",NA,"35 and over","Large",1,20,2001
"2001/02",NA,"35 and over","Small",4,20,2001
"2001/02",NA,"Under 25","Appropriate",34,46,2001
"2001/02",NA,"Under 25","Large",8,46,2001
"2001/02",NA,"Under 25","Small",4,46,2001
"2001/02",NA,"Unknown","Appropriate",1,1,2001
"2002/03",1,"25-34","Appropriate",4034,5195,2002
"2002/03",1,"25-34","Large",520,5195,2002
"2002/03",1,"25-34","Small",623,5195,2002
"2002/03",1,"25-34","Unknown",18,5195,2002
"2002/03",1,"35 and over","Appropriate",900,1183,2002
"2002/03",1,"35 and over","Large",151,1183,2002
"2002/03",1,"35 and over","Small",130,1183,2002
"2002/03",1,"35 and over","Unknown",2,1183,2002
"2002/03",1,"Under 25","Appropriate",4294,5404,2002
"2002/03",1,"Under 25","Large",403,5404,2002
"2002/03",1,"Under 25","Small",696,5404,2002
"2002/03",1,"Under 25","Unknown",11,5404,2002
"2002/03",2,"25-34","Appropriate",4153,5238,2002
"2002/03",2,"25-34","Large",605,5238,2002
"2002/03",2,"25-34","Small",472,5238,2002
"2002/03",2,"25-34","Unknown",8,5238,2002
"2002/03",2,"35 and over","Appropriate",993,1305,2002
"2002/03",2,"35 and over","Large",230,1305,2002
"2002/03",2,"35 and over","Small",81,1305,2002
"2002/03",2,"35 and over","Unknown",1,1305,2002
"2002/03",2,"Under 25","Appropriate",2718,3371,2002
"2002/03",2,"Under 25","Large",284,3371,2002
"2002/03",2,"Under 25","Small",361,3371,2002
"2002/03",2,"Under 25","Unknown",8,3371,2002
"2002/03",2,"Unknown","Appropriate",2,2,2002
"2002/03",3,"25-34","Appropriate",4154,5150,2002
"2002/03",3,"25-34","Large",644,5150,2002
"2002/03",3,"25-34","Small",342,5150,2002
"2002/03",3,"25-34","Unknown",10,5150,2002
"2002/03",3,"35 and over","Appropriate",1251,1676,2002
"2002/03",3,"35 and over","Large",295,1676,2002
"2002/03",3,"35 and over","Small",128,1676,2002
"2002/03",3,"35 and over","Unknown",2,1676,2002
"2002/03",3,"Under 25","Appropriate",1800,2224,2002
"2002/03",3,"Under 25","Large",211,2224,2002
"2002/03",3,"Under 25","Small",210,2224,2002
"2002/03",3,"Under 25","Unknown",3,2224,2002
"2002/03",4,"25-34","Appropriate",4613,5808,2002
"2002/03",4,"25-34","Large",786,5808,2002
"2002/03",4,"25-34","Small",400,5808,2002
"2002/03",4,"25-34","Unknown",9,5808,2002
"2002/03",4,"35 and over","Appropriate",1533,1985,2002
"2002/03",4,"35 and over","Large",335,1985,2002
"2002/03",4,"35 and over","Small",114,1985,2002
"2002/03",4,"35 and over","Unknown",3,1985,2002
"2002/03",4,"Under 25","Appropriate",1123,1391,2002
"2002/03",4,"Under 25","Large",137,1391,2002
"2002/03",4,"Under 25","Small",124,1391,2002
"2002/03",4,"Under 25","Unknown",7,1391,2002
"2002/03",4,"Unknown","Appropriate",1,1,2002
"2002/03",5,"25-34","Appropriate",4810,5988,2002
"2002/03",5,"25-34","Large",863,5988,2002
"2002/03",5,"25-34","Small",301,5988,2002
"2002/03",5,"25-34","Unknown",14,5988,2002
"2002/03",5,"35 and over","Appropriate",1937,2520,2002
"2002/03",5,"35 and over","Large",441,2520,2002
"2002/03",5,"35 and over","Small",138,2520,2002
"2002/03",5,"35 and over","Unknown",4,2520,2002
"2002/03",5,"Under 25","Appropriate",715,864,2002
"2002/03",5,"Under 25","Large",75,864,2002
"2002/03",5,"Under 25","Small",67,864,2002
"2002/03",5,"Under 25","Unknown",7,864,2002
"2002/03",5,"Unknown","Appropriate",1,1,2002
"2002/03",NA,"25-34","Appropriate",68,99,2002
"2002/03",NA,"25-34","Large",17,99,2002
"2002/03",NA,"25-34","Small",13,99,2002
"2002/03",NA,"25-34","Unknown",1,99,2002
"2002/03",NA,"35 and over","Appropriate",47,60,2002
"2002/03",NA,"35 and over","Large",10,60,2002
"2002/03",NA,"35 and over","Small",3,60,2002
"2002/03",NA,"Under 25","Appropriate",28,37,2002
"2002/03",NA,"Under 25","Large",4,37,2002
"2002/03",NA,"Under 25","Small",5,37,2002
"2003/04",1,"25-34","Appropriate",4206,5419,2003
"2003/04",1,"25-34","Large",600,5419,2003
"2003/04",1,"25-34","Small",594,5419,2003
"2003/04",1,"25-34","Unknown",19,5419,2003
"2003/04",1,"35 and over","Appropriate",973,1310,2003
"2003/04",1,"35 and over","Large",182,1310,2003
"2003/04",1,"35 and over","Small",146,1310,2003
"2003/04",1,"35 and over","Unknown",9,1310,2003
"2003/04",1,"Under 25","Appropriate",4500,5534,2003
"2003/04",1,"Under 25","Large",389,5534,2003
"2003/04",1,"Under 25","Small",630,5534,2003
"2003/04",1,"Under 25","Unknown",15,5534,2003
"2003/04",2,"25-34","Appropriate",4148,5147,2003
"2003/04",2,"25-34","Large",542,5147,2003
"2003/04",2,"25-34","Small",442,5147,2003
"2003/04",2,"25-34","Unknown",15,5147,2003
"2003/04",2,"35 and over","Appropriate",1123,1487,2003
"2003/04",2,"35 and over","Large",215,1487,2003
"2003/04",2,"35 and over","Small",139,1487,2003
"2003/04",2,"35 and over","Unknown",10,1487,2003
"2003/04",2,"Under 25","Appropriate",2647,3366,2003
"2003/04",2,"Under 25","Large",289,3366,2003
"2003/04",2,"Under 25","Small",421,3366,2003
"2003/04",2,"Under 25","Unknown",9,3366,2003
"2003/04",3,"25-34","Appropriate",4356,5498,2003
"2003/04",3,"25-34","Large",773,5498,2003
"2003/04",3,"25-34","Small",348,5498,2003
"2003/04",3,"25-34","Unknown",21,5498,2003
"2003/04",3,"35 and over","Appropriate",1382,1779,2003
"2003/04",3,"35 and over","Large",268,1779,2003
"2003/04",3,"35 and over","Small",128,1779,2003
"2003/04",3,"35 and over","Unknown",1,1779,2003
"2003/04",3,"Under 25","Appropriate",1786,2252,2003
"2003/04",3,"Under 25","Large",187,2252,2003
"2003/04",3,"Under 25","Small",271,2252,2003
"2003/04",3,"Under 25","Unknown",8,2252,2003
"2003/04",4,"25-34","Appropriate",4689,5848,2003
"2003/04",4,"25-34","Large",776,5848,2003
"2003/04",4,"25-34","Small",370,5848,2003
